5.71924436,5.34515845,-68.47294356,-13.38480855,-3.55700464,0.85420092,1
7.90755693,3.5549165,-69.41954093,-12.13835367,-1.74128953,1.22325219,1
9.9747993,1.66875839,-69.56691421,-10.69718839,-0.37145918,1.49568467,1
12.3542222,0.27163856,-69.21167778,-9.60527919,0.62027853,1.84809367,1
13.99907905,-1.47460746,-67.7252392,-8.35268576,1.22241499,2.20521575,1
15.73939687,-2.96162613,-65.68745784,-7.34958545,1.62318511,2.64873721,1
17.10246448,-4.76818814,-62.85809655,-5.96779315,1.89605611,2.96666416,1
20.0072,-7.576,-54.948,-3.418,2.56,3.22,2
20.50227522,-9.19296994,-50.11320522,-2.334374882,2.608792879,3.40069472,2
20.72679325,-10.83251695,-44.88379452,-1.423803352,2.452536068,3.673076758,2
20.69870302,-12.41178818,-39.17960011,-0.617597145,2.128256399,4.003332934,2
20.43595345,-13.9237379,-33.01571244,0.152932004,1.672980702,4.357650065,2
19.95649347,-15.43712754,-26.50248023,0.956472357,1.123735809,4.702214971,2
19.27827202,-17.09652567,-19.8455105,1.86171218,0.517548551,5.00321447,2
18.75558147,-17.57425602,-13.48363728,2.169020621,0.069701856,5.432049728,2
17.84502913,-19.02741408,-7.173409762,3.008506559,0.156801932,5.866135796,2
17.39199784,-20.20134879,-2.643067829,3.310921199,0.490402993,6.451358989,2
17.32014247,-21.16665423,0.198892303,3.203164294,0.855422466,7.135500701,2
17.55311789,-21.97264401,1.478228559,2.77157196,1.092592441,7.865022932,2
18.01457895,-22.6473512,1.35495302,2.061916684,1.098459674,8.585068292,2
18.62818054,-23.19752838,0.023331914,1.079407315,0.825385584,9.239460001,2
19.31757752,-23.60864763,-2.288114382,-0.21131093,0.281546255,9.770701886,2
20.00642474,-23.84490049,-5.316611339,-1.886156466,-0.469067568,10.11997838,2
20.61837708,-23.84919803,-8.76513028,-4.061611345,-1.306650472,10.22715453,2
21.07708941,-23.54317079,-12.30238837,-6.894721251,-2.055582383,10.03077599,2
21.30621659,-22.82716882,-15.56284865,-10.5830955,-2.484428561,9.468069021,2
21.22941349,-21.58026164,-18.14671997,-15.36490705,-2.305939603,8.47494049,2
20.77033497,-19.66023828,-19.61995706,-21.51889248,-1.177051442,6.985977876,2
19.4466849,-13.22912498,-22.66182,-37.33746734,0.0001,1.092310038,2
18.50691499,-9.305404888,-23.10911993,-44.35063461,1.1485,-3.116669556,2
17.41384468,-5.802497167,-23.06404559,-50.45223497,2.1415,-5.880665844,2
15.85375835,-2.633340504,-22.61635524,-55.64853399,2.9942,-7.409655887,2
14.28025803,0.27406392,-21.84920087,-59.94792344,3.7215,-7.913616748,2
12.48261686,2.976652435,-20.83912815,-63.36092127,4.3385,-7.602525488,2
10.65247567,5.516298877,-19.65607647,-65.90017162,4.8603,-6.68635917,2
8.8318448,7.919814588,-18.36337893,-67.58044481,5.3019,-5.375094855,2
6.83266332,10.19894842,-17.01776235,-68.41863733,5.6783,-3.878709605,2
5.0133139,12.35038673,-15.66934723,-68.43377188,6.0045,-2.407180482,2
3.08625197,14.35575339,-14.36164782,-67.64699732,6.2956,-1.170484548,2
1.89281683,16.18160976,-13.13157204,-66.08158871,6.5666,-0.378598865,2
0.56775533,17.77945474,-12.00942155,-63.76294729,6.8326,-0.241500495,2
-1.41037472,19.0857247,-11.01889169,-60.71860049,7.1085,-0.969166499,2
-4.240841478,19.42548958,-9.869956463,-52.66277467,7.6965,1.218034728,2
